Country,Name,url
Sweden,Emil Forsberg,/player/208448/emil-forsberg/
Brazil,Felipe,/player/207863/felipe/
Colombia,Carlos Bacca,/player/207664/carlos-bacca/
Croatia,Mateo Kovačić,/player/207410/mateo-kova%C4%8Di%C4%87/
Spain,Kepa,/player/206585/kepa/
Spain,Manu Trigueros,/player/206545/manu-trigueros/
Italy,Jorginho,/player/205498/jorginho/
Montenegro,Stefan Savić,/player/204639/stefan-savi%C4%87/
Spain,Iñigo Martínez,/player/204525/i%C3%B1igo-mart%C3%ADnez/
Italy,Alessandro Florenzi,/player/203551/alessandro-florenzi/
Belgium,Thorgan Hazard,/player/203486/thorgan-hazard/
Italy,Simone Zaza,/player/202685/simone-zaza/
Spain,Suso,/player/202651/suso/
Brazil,Lucas,/player/200949/lucas/
Spain,Sergi Roberto,/player/199564/sergi-roberto/
Switzerland,Granit Xhaka,/player/199503/granit-xhaka/
Ivory Coast,Wilfried Zaha,/player/198717/wilfried-zaha/
Cameroon,Joel Matip,/player/197061/joel-matip/
Slovenia,Kevin Kampl,/player/195365/kevin-kampl/
Brazil,Willian José,/player/195093/willian-jos%C3%A9/
Senegal,Idrissa Gueye,/player/193474/idrissa-gueye/
Spain,Víctor Ruiz,/player/193469/v%C3%ADctor-ruiz/
Switzerland,Xherdan Shaqiri,/player/193348/xherdan-shaqiri/
Spain,Marcos Alonso,/player/192638/marcos-alonso/
Italy,Giacomo Bonaventura,/player/189125/giacomo-bonaventura/
Brazil,Taison,/player/188803/taison/
Ukraine,Marlos,/player/187754/marlos/
Turkey,Ömer Toprak,/player/185239/%C3%B6mer-toprak/
Brazil,Luiz Gustavo,/player/185221/luiz-gustavo/
Portugal,Adrien Silva,/player/184826/adrien-silva/
Italy,Sebastian Giovinco,/player/184431/sebastian-giovinco/
Spain,Bruno,/player/184120/bruno/
Germany,Max Kruse,/player/183574/max-kruse/
Serbia,Ljubomir Fejsa,/player/183376/ljubomir-fejsa/
Croatia,Vedran Ćorluka,/player/181786/vedran-%C4%87orluka/
Netherlands,Georginio Wijnaldum,/player/181291/georginio-wijnaldum/
England,Adam Lallana,/player/180819/adam-lallana/
France,Olivier Giroud,/player/178509/olivier-giroud/
Serbia,Branislav Ivanović,/player/178372/branislav-ivanovi%C4%87/
Spain,Adán,/player/178086/ad%C3%A1n/
Switzerland,Yann Sommer,/player/177683/yann-sommer/
Belgium,Axel Witsel,/player/177413/axel-witsel/
France,Kévin Gameiro,/player/176600/k%C3%A9vin-gameiro/
Brazil,Lucas Leiva,/player/176266/lucas-leiva/
England,Gary Cahill,/player/164468/gary-cahill/
France,Steve Mandanda,/player/163705/steve-mandanda/
Denmark,Kasper Schmeichel,/player/163587/kasper-schmeichel/
Italy,Andrea Consigli,/player/163489/andrea-consigli/
Portugal,João Moutinho,/player/162347/jo%C3%A3o-moutinho/
Spain,Borja Valero,/player/161956/borja-valero/
Argentina,Lucas Biglia,/player/158963/lucas-biglia/
Spain,Juanfran,/player/146760/juanfran/
Spain,Diego López,/player/146748/diego-l%C3%B3pez/
Spain,David Villa,/player/113422/david-villa/
Spain,Casillas,/player/5479/casillas/
Slovakia,Milan Škriniar,/player/232363/milan-%C5%A1kriniar/
England,Marcus Rashford,/player/231677/marcus-rashford/
Portugal,Nélson Semedo,/player/227928/n%C3%A9lson-semedo/
Spain,Pau López,/player/221087/pau-l%C3%B3pez/
Croatia,Andrej Kramarić,/player/216354/andrej-kramari%C4%87/
Spain,Williams,/player/216201/williams/
Spain,Dani García,/player/216194/dani-garc%C3%ADa/
Senegal,Keita Baldé,/player/215785/keita-bald%C3%A9/
Portugal,João Mário,/player/212814/jo%C3%A3o-m%C3%A1rio/
Brazil,Anderson Talisca,/player/212523/anderson-talisca/
Italy,Daniele Rugani,/player/211320/daniele-rugani/
France,Morgan Sanson,/player/210896/morgan-sanson/
Portugal,Ricardo Pereira,/player/210243/ricardo-pereira/
Brazil,Fred,/player/209297/fred/
Morocco,Hakim Ziyech,/player/208670/hakim-ziyech/
Bosnia Herzegovina,Sead Kolašinac,/player/207993/sead-kola%C5%A1inac/
England,Jesse Lingard,/player/207494/jesse-lingard/
Italy,Franco Vázquez,/player/207471/franco-v%C3%A1zquez/
Spain,Sergio Rico,/player/206652/sergio-rico/
Wales,Ben Davies,/player/205923/ben-davies/
Germany,Antonio Rüdiger,/player/205452/antonio-r%C3%BCdiger/
Serbia,Matija Nastasić,/player/205362/matija-nastasi%C4%87/
Austria,Marcel Sabitzer,/player/204923/marcel-sabitzer/
Belgium,Michy Batshuayi,/player/204529/michy-batshuayi/
England,Jack Butland,/player/203042/jack-butland/
Germany,Karim Bellarabi,/player/202857/karim-bellarabi/
Netherlands,Memphis Depay,/player/202556/memphis-depay/
Spain,Deulofeu,/player/202477/deulofeu/
Belgium,Thomas Meunier,/player/202371/thomas-meunier/
England,Eric Dier,/player/202335/eric-dier/
Brazil,Felipe Anderson,/player/201995/felipe-anderson/
France,Geoffrey Kondogbia,/player/201455/geoffrey-kondogbia/
Brazil,Rafinha,/player/201400/rafinha/
Brazil,Gabriel Paulista,/player/201305/gabriel-paulista/
Spain,Nacho Fernández,/player/200724/nacho-fern%C3%A1ndez/
Slovenia,Josip Iličić,/player/200647/josip-ili%C4%8Di%C4%87/
Germany,Kevin Volland,/player/200610/kevin-volland/
Netherlands,Jasper Cillessen,/player/199987/jasper-cillessen/
Brazil,Allan,/player/199914/allan/
Italy,Francesco Acerbi,/player/199845/francesco-acerbi/
France,Wissam Ben Yedder,/player/199451/wissam-ben-yedder/
England,Alex Oxlade-Chamberlain,/player/198784/alex-oxlade-chamberlain/
Spain,Luis Alberto,/player/198706/luis-alberto/
Spain,Rodrigo,/player/198329/rodrigo/
Spain,Bartra,/player/198141/bartra/
Ivory Coast,Serge Aurier,/player/197853/serge-aurier/
